2026-09-15 16:03:07,412 [INFO] env_runner: HARD reset
2026-09-15 16:03:07,412 [INFO] sync_agent: Sync Agent dừng sau 81 chu kỳ.
2026-09-15 16:03:07,803 [INFO] command_agent: Command Agent dừng.
2026-09-15 16:03:07,803 [INFO] env_runner: EnvRunner.close(): stopping Mininet
2026-09-15 16:03:08,440 [INFO] env_runner: EnvRunner.start()
2026-09-15 16:03:12,151 [INFO] sync_agent: Sync Agent start: period=1.000s, tol=0.500, ping_every=20, reconcile_every=30, mode=None
2026-09-15 16:03:12,152 [INFO] command_agent: Command Agent start (bản 4.4: nghe + thực thi + response). controller=org.dt4n.ml:controller
2026-09-15 16:03:12,155 [INFO] command_agent: SSE kết nối OK, đang nghe lệnh tại http://localhost:8080/api/2/things/org.dt4n.ml:controller/inbox/messages
2026-09-15 16:03:12,296 [INFO] sync_agent: Cycle #1 [RECONCILE]: 16/16 patch, elapsed=144ms
2026-09-15 16:03:13,280 [INFO] sync_agent: Cycle #2 [delta]: 13/13 patch, elapsed=128ms
2026-09-15 16:03:14,273 [INFO] sync_agent: Cycle #3 [delta]: 11/11 patch, elapsed=121ms
2026-09-15 16:03:15,163 [INFO] env_runner: EnvRunner started in 6.7s, startup iperf=0; episode iperf baseline pending
2026-09-15 16:03:15,289 [INFO] sync_agent: Cycle #4 [delta]: 13/13 patch, elapsed=137ms
2026-09-15 16:03:16,251 [INFO] sync_agent: Cycle #5 [delta]: 7/7 patch, elapsed=98ms
2026-09-15 16:03:18,289 [INFO] sync_agent: Cycle #7 [delta]: 13/13 patch, elapsed=136ms
2026-09-15 16:03:19,286 [INFO] sync_agent: Cycle #8 [delta]: 13/13 patch, elapsed=133ms
2026-09-15 16:03:20,289 [INFO] sync_agent: Cycle #9 [delta]: 13/13 patch, elapsed=136ms
2026-09-15 16:03:21,302 [INFO] sync_agent: Cycle #10 [delta]: 13/13 patch, elapsed=148ms
2026-09-15 16:03:22,290 [INFO] sync_agent: Cycle #11 [delta]: 13/13 patch, elapsed=137ms
2026-09-15 16:03:23,299 [INFO] sync_agent: Cycle #12 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 16:03:24,314 [INFO] sync_agent: Cycle #13 [delta]: 13/13 patch, elapsed=160ms
2026-09-15 16:03:24,557 [INFO] env_runner: Calibrated episode iperf baseline=7
2026-09-15 16:03:25,286 [INFO] sync_agent: Cycle #14 [delta]: 13/13 patch, elapsed=132ms
2026-09-15 16:03:26,277 [INFO] sync_agent: Cycle #15 [delta]: 13/13 patch, elapsed=122ms
2026-09-15 16:03:27,288 [INFO] sync_agent: Cycle #16 [delta]: 11/11 patch, elapsed=134ms
2026-09-15 16:03:28,293 [INFO] sync_agent: Cycle #17 [delta]: 13/13 patch, elapsed=138ms
2026-09-15 16:03:29,299 [INFO] sync_agent: Cycle #18 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:03:30,297 [INFO] sync_agent: Cycle #19 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 16:03:31,294 [INFO] sync_agent: Cycle #20 [delta]: 13/13 patch, elapsed=138ms
2026-09-15 16:03:32,300 [INFO] sync_agent: Cycle #21 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:03:33,304 [INFO] sync_agent: Cycle #22 [delta]: 13/13 patch, elapsed=148ms
2026-09-15 16:03:34,304 [INFO] sync_agent: Cycle #23 [delta]: 13/13 patch, elapsed=148ms
2026-09-15 16:03:35,300 [INFO] sync_agent: Cycle #24 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:03:36,309 [INFO] sync_agent: Cycle #25 [delta]: 13/13 patch, elapsed=152ms
2026-09-15 16:03:37,304 [INFO] sync_agent: Cycle #26 [delta]: 13/13 patch, elapsed=148ms
2026-09-15 16:03:38,300 [INFO] sync_agent: Cycle #27 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:03:39,302 [INFO] sync_agent: Cycle #28 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 16:03:40,301 [INFO] sync_agent: Cycle #29 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:03:41,301 [INFO] sync_agent: Cycle #30 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:03:42,323 [INFO] sync_agent: Cycle #31 [RECONCILE]: 16/16 patch, elapsed=165ms
2026-09-15 16:03:43,310 [INFO] sync_agent: Cycle #32 [delta]: 13/13 patch, elapsed=152ms
