2026-09-15 16:00:17,534 [INFO] env_runner: HARD reset
2026-09-15 16:00:17,534 [INFO] sync_agent: Sync Agent dừng sau 81 chu kỳ.
2026-09-15 16:00:17,913 [INFO] command_agent: Command Agent dừng.
2026-09-15 16:00:17,913 [INFO] env_runner: EnvRunner.close(): stopping Mininet
2026-09-15 16:00:18,547 [INFO] env_runner: EnvRunner.start()
2026-09-15 16:00:22,259 [INFO] sync_agent: Sync Agent start: period=1.000s, tol=0.500, ping_every=20, reconcile_every=30, mode=None
2026-09-15 16:00:22,259 [INFO] command_agent: Command Agent start (bản 4.4: nghe + thực thi + response). controller=org.dt4n.ml:controller
2026-09-15 16:00:22,262 [INFO] command_agent: SSE kết nối OK, đang nghe lệnh tại http://localhost:8080/api/2/things/org.dt4n.ml:controller/inbox/messages
2026-09-15 16:00:22,404 [INFO] sync_agent: Cycle #1 [RECONCILE]: 16/16 patch, elapsed=145ms
2026-09-15 16:00:23,391 [INFO] sync_agent: Cycle #2 [delta]: 13/13 patch, elapsed=132ms
2026-09-15 16:00:24,362 [INFO] sync_agent: Cycle #3 [delta]: 8/8 patch, elapsed=103ms
2026-09-15 16:00:25,270 [INFO] env_runner: EnvRunner started in 6.7s, startup iperf=0; episode iperf baseline pending
2026-09-15 16:00:25,393 [INFO] sync_agent: Cycle #4 [delta]: 13/13 patch, elapsed=133ms
2026-09-15 16:00:26,375 [INFO] sync_agent: Cycle #5 [delta]: 11/11 patch, elapsed=116ms
2026-09-15 16:00:28,397 [INFO] sync_agent: Cycle #7 [delta]: 13/13 patch, elapsed=137ms
2026-09-15 16:00:29,395 [INFO] sync_agent: Cycle #8 [delta]: 13/13 patch, elapsed=135ms
2026-09-15 16:00:30,394 [INFO] sync_agent: Cycle #9 [delta]: 13/13 patch, elapsed=134ms
2026-09-15 16:00:31,395 [INFO] sync_agent: Cycle #10 [delta]: 13/13 patch, elapsed=134ms
2026-09-15 16:00:32,394 [INFO] sync_agent: Cycle #11 [delta]: 13/13 patch, elapsed=134ms
2026-09-15 16:00:33,403 [INFO] sync_agent: Cycle #12 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 16:00:34,421 [INFO] sync_agent: Cycle #13 [delta]: 13/13 patch, elapsed=160ms
2026-09-15 16:00:34,659 [INFO] env_runner: Calibrated episode iperf baseline=7
2026-09-15 16:00:35,386 [INFO] sync_agent: Cycle #14 [delta]: 13/13 patch, elapsed=125ms
2026-09-15 16:00:36,387 [INFO] sync_agent: Cycle #15 [delta]: 13/13 patch, elapsed=126ms
2026-09-15 16:00:37,397 [INFO] sync_agent: Cycle #16 [delta]: 12/12 patch, elapsed=135ms
2026-09-15 16:00:38,402 [INFO] sync_agent: Cycle #17 [delta]: 13/13 patch, elapsed=140ms
2026-09-15 16:00:39,411 [INFO] sync_agent: Cycle #18 [delta]: 13/13 patch, elapsed=149ms
2026-09-15 16:00:40,403 [INFO] sync_agent: Cycle #19 [delta]: 13/13 patch, elapsed=140ms
2026-09-15 16:00:41,402 [INFO] sync_agent: Cycle #20 [delta]: 13/13 patch, elapsed=140ms
2026-09-15 16:00:42,407 [INFO] sync_agent: Cycle #21 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:00:43,417 [INFO] sync_agent: Cycle #22 [delta]: 13/13 patch, elapsed=154ms
2026-09-15 16:00:44,410 [INFO] sync_agent: Cycle #23 [delta]: 13/13 patch, elapsed=147ms
2026-09-15 16:00:45,408 [INFO] sync_agent: Cycle #24 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:00:46,407 [INFO] sync_agent: Cycle #25 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:00:47,404 [INFO] sync_agent: Cycle #26 [delta]: 13/13 patch, elapsed=140ms
2026-09-15 16:00:48,404 [INFO] sync_agent: Cycle #27 [delta]: 13/13 patch, elapsed=140ms
2026-09-15 16:00:49,408 [INFO] sync_agent: Cycle #28 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:00:50,409 [INFO] sync_agent: Cycle #29 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:00:51,416 [INFO] sync_agent: Cycle #30 [delta]: 13/13 patch, elapsed=151ms
2026-09-15 16:00:52,429 [INFO] sync_agent: Cycle #31 [RECONCILE]: 16/16 patch, elapsed=164ms
2026-09-15 16:00:53,450 [INFO] sync_agent: Cycle #32 [delta]: 13/13 patch, elapsed=184ms
2026-09-15 16:00:54,412 [INFO] sync_agent: Cycle #33 [delta]: 13/13 patch, elapsed=147ms
2026-09-15 16:00:55,411 [INFO] sync_agent: Cycle #34 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 16:00:56,408 [INFO] sync_agent: Cycle #35 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 16:00:57,410 [INFO] sync_agent: Cycle #36 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:00:58,407 [INFO] sync_agent: Cycle #37 [delta]: 13/13 patch, elapsed=140ms
2026-09-15 16:00:59,412 [INFO] sync_agent: Cycle #38 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 16:01:00,410 [INFO] sync_agent: Cycle #39 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:01:01,413 [INFO] sync_agent: Cycle #40 [delta]: 13/13 patch, elapsed=146ms
2026-09-15 16:01:02,418 [INFO] sync_agent: Cycle #41 [delta]: 13/13 patch, elapsed=150ms
2026-09-15 16:01:03,411 [INFO] sync_agent: Cycle #42 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:01:04,411 [INFO] sync_agent: Cycle #43 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 16:01:05,408 [INFO] sync_agent: Cycle #44 [delta]: 13/13 patch, elapsed=140ms
2026-09-15 16:01:06,420 [INFO] sync_agent: Cycle #45 [delta]: 13/13 patch, elapsed=151ms
2026-09-15 16:01:07,411 [INFO] sync_agent: Cycle #46 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 16:01:08,416 [INFO] sync_agent: Cycle #47 [delta]: 13/13 patch, elapsed=147ms
2026-09-15 16:01:09,411 [INFO] sync_agent: Cycle #48 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 16:01:10,412 [INFO] sync_agent: Cycle #49 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:01:11,412 [INFO] sync_agent: Cycle #50 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:01:12,412 [INFO] sync_agent: Cycle #51 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 16:01:13,415 [INFO] sync_agent: Cycle #52 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 16:01:14,412 [INFO] sync_agent: Cycle #53 [delta]: 13/13 patch, elapsed=142ms
