2026-09-15 16:01:42,459 [INFO] env_runner: HARD reset
2026-09-15 16:01:42,459 [INFO] sync_agent: Sync Agent dừng sau 81 chu kỳ.
2026-09-15 16:01:42,833 [INFO] command_agent: Command Agent dừng.
2026-09-15 16:01:42,834 [INFO] env_runner: EnvRunner.close(): stopping Mininet
2026-09-15 16:01:43,470 [INFO] env_runner: EnvRunner.start()
2026-09-15 16:01:47,228 [INFO] sync_agent: Sync Agent start: period=1.000s, tol=0.500, ping_every=20, reconcile_every=30, mode=None
2026-09-15 16:01:47,229 [INFO] command_agent: Command Agent start (bản 4.4: nghe + thực thi + response). controller=org.dt4n.ml:controller
2026-09-15 16:01:47,232 [INFO] command_agent: SSE kết nối OK, đang nghe lệnh tại http://localhost:8080/api/2/things/org.dt4n.ml:controller/inbox/messages
2026-09-15 16:01:47,379 [INFO] sync_agent: Cycle #1 [RECONCILE]: 16/16 patch, elapsed=150ms
2026-09-15 16:01:48,360 [INFO] sync_agent: Cycle #2 [delta]: 13/13 patch, elapsed=132ms
2026-09-15 16:01:49,338 [INFO] sync_agent: Cycle #3 [delta]: 9/9 patch, elapsed=109ms
2026-09-15 16:01:50,238 [INFO] env_runner: EnvRunner started in 6.8s, startup iperf=0; episode iperf baseline pending
2026-09-15 16:01:50,366 [INFO] sync_agent: Cycle #4 [delta]: 13/13 patch, elapsed=137ms
2026-09-15 16:01:51,356 [INFO] sync_agent: Cycle #5 [delta]: 11/11 patch, elapsed=127ms
2026-09-15 16:01:53,371 [INFO] sync_agent: Cycle #7 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 16:01:54,369 [INFO] sync_agent: Cycle #8 [delta]: 13/13 patch, elapsed=140ms
2026-09-15 16:01:55,367 [INFO] sync_agent: Cycle #9 [delta]: 13/13 patch, elapsed=137ms
2026-09-15 16:01:56,366 [INFO] sync_agent: Cycle #10 [delta]: 13/13 patch, elapsed=136ms
2026-09-15 16:01:57,366 [INFO] sync_agent: Cycle #11 [delta]: 13/13 patch, elapsed=136ms
2026-09-15 16:01:58,375 [INFO] sync_agent: Cycle #12 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:01:59,389 [INFO] sync_agent: Cycle #13 [delta]: 13/13 patch, elapsed=158ms
2026-09-15 16:01:59,635 [INFO] env_runner: Calibrated episode iperf baseline=7
2026-09-15 16:02:00,364 [INFO] sync_agent: Cycle #14 [delta]: 13/13 patch, elapsed=133ms
2026-09-15 16:02:01,356 [INFO] sync_agent: Cycle #15 [delta]: 13/13 patch, elapsed=124ms
2026-09-15 16:02:02,364 [INFO] sync_agent: Cycle #16 [delta]: 11/11 patch, elapsed=133ms
2026-09-15 16:02:03,371 [INFO] sync_agent: Cycle #17 [delta]: 13/13 patch, elapsed=139ms
2026-09-15 16:02:04,377 [INFO] sync_agent: Cycle #18 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 16:02:05,371 [INFO] sync_agent: Cycle #19 [delta]: 13/13 patch, elapsed=138ms
2026-09-15 16:02:06,377 [INFO] sync_agent: Cycle #20 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 16:02:07,380 [INFO] sync_agent: Cycle #21 [delta]: 13/13 patch, elapsed=147ms
2026-09-15 16:02:08,384 [INFO] sync_agent: Cycle #22 [delta]: 13/13 patch, elapsed=151ms
2026-09-15 16:02:09,376 [INFO] sync_agent: Cycle #23 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:02:10,380 [INFO] sync_agent: Cycle #24 [delta]: 13/13 patch, elapsed=147ms
2026-09-15 16:02:11,374 [INFO] sync_agent: Cycle #25 [delta]: 13/13 patch, elapsed=140ms
2026-09-15 16:02:12,379 [INFO] sync_agent: Cycle #26 [delta]: 13/13 patch, elapsed=146ms
2026-09-15 16:02:13,387 [INFO] sync_agent: Cycle #27 [delta]: 13/13 patch, elapsed=153ms
2026-09-15 16:02:14,377 [INFO] sync_agent: Cycle #28 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:02:15,379 [INFO] sync_agent: Cycle #29 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:02:16,382 [INFO] sync_agent: Cycle #30 [delta]: 13/13 patch, elapsed=147ms
2026-09-15 16:02:17,395 [INFO] sync_agent: Cycle #31 [RECONCILE]: 16/16 patch, elapsed=160ms
2026-09-15 16:02:18,380 [INFO] sync_agent: Cycle #32 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 16:02:19,378 [INFO] sync_agent: Cycle #33 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:02:20,382 [INFO] sync_agent: Cycle #34 [delta]: 13/13 patch, elapsed=147ms
2026-09-15 16:02:21,385 [INFO] sync_agent: Cycle #35 [delta]: 13/13 patch, elapsed=149ms
2026-09-15 16:02:22,382 [INFO] sync_agent: Cycle #36 [delta]: 13/13 patch, elapsed=146ms
2026-09-15 16:02:23,385 [INFO] sync_agent: Cycle #37 [delta]: 13/13 patch, elapsed=149ms
2026-09-15 16:02:24,383 [INFO] sync_agent: Cycle #38 [delta]: 13/13 patch, elapsed=147ms
2026-09-15 16:02:25,379 [INFO] sync_agent: Cycle #39 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 16:02:26,380 [INFO] sync_agent: Cycle #40 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:02:27,384 [INFO] sync_agent: Cycle #41 [delta]: 13/13 patch, elapsed=147ms
2026-09-15 16:02:28,392 [INFO] sync_agent: Cycle #42 [delta]: 13/13 patch, elapsed=154ms
2026-09-15 16:02:29,381 [INFO] sync_agent: Cycle #43 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:02:30,399 [INFO] sync_agent: Cycle #44 [delta]: 13/13 patch, elapsed=161ms
2026-09-15 16:02:31,414 [INFO] sync_agent: Cycle #45 [delta]: 13/13 patch, elapsed=176ms
2026-09-15 16:02:32,386 [INFO] sync_agent: Cycle #46 [delta]: 13/13 patch, elapsed=148ms
2026-09-15 16:02:33,387 [INFO] sync_agent: Cycle #47 [delta]: 13/13 patch, elapsed=148ms
2026-09-15 16:02:34,392 [INFO] sync_agent: Cycle #48 [delta]: 13/13 patch, elapsed=153ms
2026-09-15 16:02:35,384 [INFO] sync_agent: Cycle #49 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 16:02:36,387 [INFO] sync_agent: Cycle #50 [delta]: 13/13 patch, elapsed=148ms
2026-09-15 16:02:37,382 [INFO] sync_agent: Cycle #51 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 16:02:38,384 [INFO] sync_agent: Cycle #52 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:02:39,389 [INFO] sync_agent: Cycle #53 [delta]: 13/13 patch, elapsed=150ms
2026-09-15 16:02:40,382 [INFO] sync_agent: Cycle #54 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 16:02:41,383 [INFO] sync_agent: Cycle #55 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 16:02:42,388 [INFO] sync_agent: Cycle #56 [delta]: 13/13 patch, elapsed=148ms
2026-09-15 16:02:43,388 [INFO] sync_agent: Cycle #57 [delta]: 13/13 patch, elapsed=147ms
2026-09-15 16:02:44,393 [INFO] sync_agent: Cycle #58 [delta]: 13/13 patch, elapsed=152ms
2026-09-15 16:02:45,386 [INFO] sync_agent: Cycle #59 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 16:02:46,387 [INFO] sync_agent: Cycle #60 [delta]: 13/13 patch, elapsed=146ms
2026-09-15 16:02:47,414 [INFO] sync_agent: Cycle #61 [RECONCILE]: 16/16 patch, elapsed=172ms
2026-09-15 16:02:48,387 [INFO] sync_agent: Cycle #62 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 16:02:49,383 [INFO] sync_agent: Cycle #63 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 16:02:50,383 [INFO] sync_agent: Cycle #64 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 16:02:51,394 [INFO] sync_agent: Cycle #65 [delta]: 13/13 patch, elapsed=151ms
2026-09-15 16:02:52,387 [INFO] sync_agent: Cycle #66 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:02:53,393 [INFO] sync_agent: Cycle #67 [delta]: 13/13 patch, elapsed=150ms
2026-09-15 16:02:54,388 [INFO] sync_agent: Cycle #68 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 16:02:55,385 [INFO] sync_agent: Cycle #69 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 16:02:56,386 [INFO] sync_agent: Cycle #70 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:02:57,385 [INFO] sync_agent: Cycle #71 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 16:02:58,400 [INFO] sync_agent: Cycle #72 [delta]: 13/13 patch, elapsed=155ms
2026-09-15 16:02:59,390 [INFO] sync_agent: Cycle #73 [delta]: 13/13 patch, elapsed=146ms
2026-09-15 16:03:00,411 [INFO] sync_agent: Cycle #74 [delta]: 13/13 patch, elapsed=167ms
2026-09-15 16:03:01,391 [INFO] sync_agent: Cycle #75 [delta]: 13/13 patch, elapsed=146ms
2026-09-15 16:03:02,400 [INFO] sync_agent: Cycle #76 [delta]: 13/13 patch, elapsed=155ms
2026-09-15 16:03:03,392 [INFO] sync_agent: Cycle #77 [delta]: 13/13 patch, elapsed=147ms
2026-09-15 16:03:04,388 [INFO] sync_agent: Cycle #78 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 16:03:05,390 [INFO] sync_agent: Cycle #79 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:03:06,389 [INFO] sync_agent: Cycle #80 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 16:03:07,386 [INFO] sync_agent: Cycle #81 [delta]: 13/13 patch, elapsed=139ms
