2026-09-15 15:58:52,572 [INFO] env_runner: HARD reset
2026-09-15 15:58:52,572 [INFO] sync_agent: Sync Agent dừng sau 81 chu kỳ.
2026-09-15 15:58:52,963 [INFO] command_agent: Command Agent dừng.
2026-09-15 15:58:52,963 [INFO] env_runner: EnvRunner.close(): stopping Mininet
2026-09-15 15:58:53,616 [INFO] env_runner: EnvRunner.start()
2026-09-15 15:58:57,330 [INFO] sync_agent: Sync Agent start: period=1.000s, tol=0.500, ping_every=20, reconcile_every=30, mode=None
2026-09-15 15:58:57,330 [INFO] command_agent: Command Agent start (bản 4.4: nghe + thực thi + response). controller=org.dt4n.ml:controller
2026-09-15 15:58:57,333 [INFO] command_agent: SSE kết nối OK, đang nghe lệnh tại http://localhost:8080/api/2/things/org.dt4n.ml:controller/inbox/messages
2026-09-15 15:58:57,478 [INFO] sync_agent: Cycle #1 [RECONCILE]: 16/16 patch, elapsed=148ms
2026-09-15 15:58:58,456 [INFO] sync_agent: Cycle #2 [delta]: 13/13 patch, elapsed=126ms
2026-09-15 15:58:59,448 [INFO] sync_agent: Cycle #3 [delta]: 10/10 patch, elapsed=117ms
2026-09-15 15:59:00,342 [INFO] env_runner: EnvRunner started in 6.7s, startup iperf=0; episode iperf baseline pending
2026-09-15 15:59:00,474 [INFO] sync_agent: Cycle #4 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 15:59:01,441 [INFO] sync_agent: Cycle #5 [delta]: 9/9 patch, elapsed=109ms
2026-09-15 15:59:03,471 [INFO] sync_agent: Cycle #7 [delta]: 13/13 patch, elapsed=139ms
2026-09-15 15:59:04,472 [INFO] sync_agent: Cycle #8 [delta]: 13/13 patch, elapsed=140ms
2026-09-15 15:59:05,467 [INFO] sync_agent: Cycle #9 [delta]: 13/13 patch, elapsed=135ms
2026-09-15 15:59:06,470 [INFO] sync_agent: Cycle #10 [delta]: 13/13 patch, elapsed=138ms
2026-09-15 15:59:07,468 [INFO] sync_agent: Cycle #11 [delta]: 13/13 patch, elapsed=136ms
2026-09-15 15:59:08,481 [INFO] sync_agent: Cycle #12 [delta]: 13/13 patch, elapsed=149ms
2026-09-15 15:59:09,489 [INFO] sync_agent: Cycle #13 [delta]: 13/13 patch, elapsed=156ms
2026-09-15 15:59:09,746 [INFO] env_runner: Calibrated episode iperf baseline=7
2026-09-15 15:59:10,460 [INFO] sync_agent: Cycle #14 [delta]: 13/13 patch, elapsed=127ms
2026-09-15 15:59:11,461 [INFO] sync_agent: Cycle #15 [delta]: 13/13 patch, elapsed=127ms
2026-09-15 15:59:12,456 [INFO] sync_agent: Cycle #16 [delta]: 10/10 patch, elapsed=123ms
2026-09-15 15:59:13,475 [INFO] sync_agent: Cycle #17 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 15:59:14,478 [INFO] sync_agent: Cycle #18 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 15:59:15,470 [INFO] sync_agent: Cycle #19 [delta]: 13/13 patch, elapsed=136ms
2026-09-15 15:59:16,482 [INFO] sync_agent: Cycle #20 [delta]: 13/13 patch, elapsed=147ms
2026-09-15 15:59:17,478 [INFO] sync_agent: Cycle #21 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 15:59:18,485 [INFO] sync_agent: Cycle #22 [delta]: 13/13 patch, elapsed=150ms
2026-09-15 15:59:19,477 [INFO] sync_agent: Cycle #23 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 15:59:20,487 [INFO] sync_agent: Cycle #24 [delta]: 13/13 patch, elapsed=152ms
2026-09-15 15:59:21,478 [INFO] sync_agent: Cycle #25 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 15:59:22,478 [INFO] sync_agent: Cycle #26 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 15:59:23,478 [INFO] sync_agent: Cycle #27 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 15:59:24,479 [INFO] sync_agent: Cycle #28 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 15:59:25,475 [INFO] sync_agent: Cycle #29 [delta]: 13/13 patch, elapsed=139ms
2026-09-15 15:59:26,482 [INFO] sync_agent: Cycle #30 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 15:59:27,498 [INFO] sync_agent: Cycle #31 [RECONCILE]: 16/16 patch, elapsed=161ms
2026-09-15 15:59:28,479 [INFO] sync_agent: Cycle #32 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 15:59:29,474 [INFO] sync_agent: Cycle #33 [delta]: 13/13 patch, elapsed=137ms
2026-09-15 15:59:30,489 [INFO] sync_agent: Cycle #34 [delta]: 13/13 patch, elapsed=152ms
2026-09-15 15:59:31,478 [INFO] sync_agent: Cycle #35 [delta]: 13/13 patch, elapsed=140ms
2026-09-15 15:59:32,484 [INFO] sync_agent: Cycle #36 [delta]: 13/13 patch, elapsed=146ms
2026-09-15 15:59:33,487 [INFO] sync_agent: Cycle #37 [delta]: 13/13 patch, elapsed=149ms
2026-09-15 15:59:34,480 [INFO] sync_agent: Cycle #38 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 15:59:35,478 [INFO] sync_agent: Cycle #39 [delta]: 13/13 patch, elapsed=139ms
2026-09-15 15:59:36,480 [INFO] sync_agent: Cycle #40 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 15:59:37,484 [INFO] sync_agent: Cycle #41 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 15:59:38,483 [INFO] sync_agent: Cycle #42 [delta]: 13/13 patch, elapsed=143ms
2026-09-15 15:59:39,482 [INFO] sync_agent: Cycle #43 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 15:59:40,482 [INFO] sync_agent: Cycle #44 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 15:59:41,479 [INFO] sync_agent: Cycle #45 [delta]: 13/13 patch, elapsed=138ms
2026-09-15 15:59:42,485 [INFO] sync_agent: Cycle #46 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 15:59:43,492 [INFO] sync_agent: Cycle #47 [delta]: 13/13 patch, elapsed=150ms
2026-09-15 15:59:44,487 [INFO] sync_agent: Cycle #48 [delta]: 13/13 patch, elapsed=146ms
2026-09-15 15:59:45,497 [INFO] sync_agent: Cycle #49 [delta]: 13/13 patch, elapsed=155ms
2026-09-15 15:59:46,481 [INFO] sync_agent: Cycle #50 [delta]: 13/13 patch, elapsed=139ms
2026-09-15 15:59:47,487 [INFO] sync_agent: Cycle #51 [delta]: 13/13 patch, elapsed=145ms
2026-09-15 15:59:48,494 [INFO] sync_agent: Cycle #52 [delta]: 13/13 patch, elapsed=152ms
2026-09-15 15:59:49,482 [INFO] sync_agent: Cycle #53 [delta]: 13/13 patch, elapsed=139ms
2026-09-15 15:59:50,489 [INFO] sync_agent: Cycle #54 [delta]: 13/13 patch, elapsed=146ms
2026-09-15 15:59:51,484 [INFO] sync_agent: Cycle #55 [delta]: 13/13 patch, elapsed=140ms
2026-09-15 15:59:52,489 [INFO] sync_agent: Cycle #56 [delta]: 13/13 patch, elapsed=146ms
2026-09-15 15:59:53,488 [INFO] sync_agent: Cycle #57 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 15:59:54,490 [INFO] sync_agent: Cycle #58 [delta]: 13/13 patch, elapsed=146ms
2026-09-15 15:59:55,486 [INFO] sync_agent: Cycle #59 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 15:59:56,487 [INFO] sync_agent: Cycle #60 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 15:59:57,511 [INFO] sync_agent: Cycle #61 [RECONCILE]: 16/16 patch, elapsed=166ms
2026-09-15 15:59:58,487 [INFO] sync_agent: Cycle #62 [delta]: 13/13 patch, elapsed=142ms
2026-09-15 15:59:59,486 [INFO] sync_agent: Cycle #63 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 16:00:00,494 [INFO] sync_agent: Cycle #64 [delta]: 13/13 patch, elapsed=149ms
2026-09-15 16:00:01,491 [INFO] sync_agent: Cycle #65 [delta]: 13/13 patch, elapsed=146ms
2026-09-15 16:00:02,489 [INFO] sync_agent: Cycle #66 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:00:03,497 [INFO] sync_agent: Cycle #67 [delta]: 13/13 patch, elapsed=151ms
2026-09-15 16:00:04,495 [INFO] sync_agent: Cycle #68 [delta]: 13/13 patch, elapsed=149ms
2026-09-15 16:00:05,485 [INFO] sync_agent: Cycle #69 [delta]: 13/13 patch, elapsed=139ms
2026-09-15 16:00:06,490 [INFO] sync_agent: Cycle #70 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:00:07,488 [INFO] sync_agent: Cycle #71 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 16:00:08,491 [INFO] sync_agent: Cycle #72 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:00:09,488 [INFO] sync_agent: Cycle #73 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 16:00:10,496 [INFO] sync_agent: Cycle #74 [delta]: 13/13 patch, elapsed=149ms
2026-09-15 16:00:11,489 [INFO] sync_agent: Cycle #75 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 16:00:12,501 [INFO] sync_agent: Cycle #76 [delta]: 13/13 patch, elapsed=153ms
2026-09-15 16:00:13,489 [INFO] sync_agent: Cycle #77 [delta]: 13/13 patch, elapsed=141ms
2026-09-15 16:00:14,493 [INFO] sync_agent: Cycle #78 [delta]: 13/13 patch, elapsed=144ms
2026-09-15 16:00:15,487 [INFO] sync_agent: Cycle #79 [delta]: 13/13 patch, elapsed=138ms
