feature,kind,nunique,pct_null,std,n_normal,n_fault,mean_normal,std_normal,mean_fault,std_fault,auc,auc_dist,d_pooled,quyet_dinh,ly_do
timestamp,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
cycle_scan_ms,meta,1059,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
run_id,meta,18,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
group,meta,3,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
split,meta,2,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
profile,meta,2,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
load_mbps_per_client,meta,3,16.67,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
fault,meta,4,55.56,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
fault_target,meta,5,55.56,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
t_inject,meta,1,55.56,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
t_revert,meta,1,55.56,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
seed,meta,18,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
exec_index,meta,18,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
period_sec,meta,1,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
pre_roll_sec,meta,1,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
warmup_ticks,meta,1,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
duration_sec,meta,1,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
collector_version,meta,1,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
